ds,yhat,yhat_lower,yhat_upper
2022-05-24,22071.074412088143,-477.77034035639,46101.61464443208
2022-05-25,22474.894257413423,583.2566346872371,45508.42170237371
2022-05-26,21750.062916152005,-1382.3857893148881,43935.94154355117
2022-05-27,24738.59449022818,1739.31915184558,47792.68510278757
2022-05-28,22127.047090007334,-918.7888006641286,46485.9332093808
2022-05-29,21254.763538419284,-1405.6077601733805,43344.643688222655
2022-05-30,22326.861528379202,-2013.4099534280772,46807.622910306534
2022-05-31,20943.684260703434,-2500.6551436568493,43147.6198055917
2022-06-01,21736.99363731728,-2737.861499583625,43974.854188018384
2022-06-02,21426.964566482246,-3390.8534438200504,43904.23968291423
2022-06-03,24845.606364907926,3631.4925510297194,49683.42043596941
2022-06-04,22669.055825284995,-1048.4014193134283,45210.219348588435
2022-06-05,22226.10206057988,-96.80922245090952,45846.93114316498
2022-06-06,23711.464712458073,1848.612957853423,46994.57857014136
2022-06-07,22715.52818993211,860.3137309436298,47578.22421372855
2022-06-08,23860.805783392596,786.7421921078884,45956.516532390866
2022-06-09,23859.184357080077,231.97819727593884,45906.51711708443
2022-06-10,27535.56836064178,4149.372370786694,48966.36140509308
2022-06-11,25560.361308190804,2439.988317926615,48890.98872748089
2022-06-12,25258.13943066945,633.4587154568745,47369.956844040105
2022-06-13,26821.034857860424,4078.0790944589176,48556.60304341759
2022-06-14,25838.528064472215,2830.323265323538,48744.34109578143
2022-06-15,26933.92187855979,3151.252099131576,49482.567628652076
2022-06-16,26821.54763874165,2573.855674701313,50362.78371321974
2022-06-17,30330.32355498326,7190.305769670001,51970.73000527897
2022-06-18,28136.106126504535,5662.263995382298,49959.889955338374
2022-06-19,27570.19333503747,5771.5937542074635,50479.25303382843
2022-06-20,28832.502168636238,5546.445027508592,51148.8959201379
2022-06-21,27521.126438357733,4808.510087530597,48845.51960637336
2022-06-22,28268.554255533752,5519.618263909267,51010.28695652016
2022-06-23,27798.603453874155,5522.5866777100355,51728.627528017816
2022-06-24,30949.703106826986,9045.163825428508,53838.848435223095
2022-06-25,28406.970242974723,4570.859734474135,49719.38942745365
2022-06-26,27510.44860283882,3800.9192269819964,52189.18106358483
2022-06-27,28468.039966697223,5397.149176877935,49842.8429739223
2022-06-28,26884.840950140893,4262.8332370287035,51521.41568667663
2022-06-29,27399.171404917557,6087.377032083991,50565.4406851344
2022-06-30,26739.358029754916,3206.812732654608,49291.79666502854
2022-07-01,29746.9057044448,7528.021674806678,52818.90474478314
2022-07-02,27108.508708565063,2507.646593814956,48621.57717637048
2022-07-03,26164.27039493072,3690.0738192471426,49771.15493106887
2022-07-04,27120.661974593684,4578.524834900418,50347.073778495396
2022-07-05,25579.932486934726,2031.3013459890922,48795.197271101235
2022-07-06,26176.253263783063,3979.322203776444,49613.505086888246
2022-07-07,25632.656827720115,3192.867746516328,46717.75590280249
2022-07-08,28784.39770067092,5436.1853413260105,51757.42165098765
2022-07-09,26311.181245973432,3567.10271451553,50716.19521954196
2022-07-10,25545.622228409007,3684.3281416974687,47411.93889115219
2022-07-11,26686.45622665554,4824.07901033244,49941.698710345925
2022-07-12,25328.20804236002,2654.0696277109123,48132.16521710353
2022-07-13,26097.592320468997,1811.325434792726,49936.476252721055
2022-07-14,25710.698309583597,4267.839375331492,47452.38450942563
2022-07-15,28996.578554454187,4422.195354790654,51930.34761449907
